schema,table,column,type,mandatory,description
ros_ll,tori_line_details,towed_objects_type,character varying(255),NO,
ros_ll,tori_line_details,streamer_distance_value,double precision,NO,
ros_ll,tori_line_details,streamer_distance_unit,character varying(3),NO,
ros_ll,tori_line_details,attached_height_value,double precision,NO,
ros_ll,tori_line_details,attached_height_unit,character varying(3),NO,
ros_ll,tori_line_details,tori_line_length_value,double precision,NO,
ros_ll,tori_line_details,tori_line_length_unit,character varying(3),NO,
ros_ll,tori_line_details,streamer_line_length_max_value,double precision,NO,
ros_ll,tori_line_details,streamer_line_length_max_unit,character varying(3),NO,
ros_ll,tori_line_details,streamer_line_length_min_value,double precision,NO,
ros_ll,tori_line_details,streamer_line_length_min_unit,character varying(3),NO,
ros_ll,tori_line_details,streamers_reach_surface,character varying(5),NO,
ros_pl,additional_catch_details_on_ssi,id,integer,YES,
ros_pl,additional_catch_details_on_ssi,photo_id,character varying(255),NO,
ros_pl,additional_catch_details_on_ssi,gear_interaction_code,character(2),NO,
ros_pl,additional_catch_details_on_ssi,handling_method_code,character(2),NO,
ros_pl,additional_catch_details_on_ssi,brought_on_board,character varying(5),NO,
ros_pl,additional_catch_details_on_ssi,revival,character varying(5),NO,
ros_pl,bait_fishing_event_pl_catch_detail,bait_fishing_event_id,integer,YES,
ros_pl,bait_fishing_events,id,integer,YES,
ros_pl,bait_fishing_events,comments,text,NO,
ros_pl,bait_fishing_events,event_original_id,character varying(255),NO,
ros_pl,bait_fishing_events,bait_fishing_operation_id,integer,NO,
ros_pl,bait_fishing_events,trip_id,integer,YES,
ros_pl,bait_fishing_operations,id,integer,YES,
ros_pl,bait_fishing_operations,end_event_date_and_time,timestamp(6) without time zone,NO,
ros_pl,bait_fishing_operations,number_of_fishers,integer,NO,
ros_pl,bait_fishing_operations,start_event_date_and_time,timestamp(6) without time zone,NO,
ros_pl,bait_fishing_operations,start_event_latitude,double precision,NO,
ros_pl,bait_fishing_operations,start_event_longitude,double precision,NO,
ros_pl,bait_fishing_operations,bait_fishing_method_code,character(2),NO,
ros_pl,bait_fishing_operations,sampling_protocol_code,character(2),NO,
ros_pl,bait_fishing_operations,event_depth_value,double precision,NO,
ros_pl,bait_fishing_operations,event_depth_unit,character varying(3),NO,
ros_pl,baits_and_conditions,id,integer,YES,
ros_pl,baits_and_conditions,bait_condition_code,character(2),NO,
ros_pl,baits_and_conditions,species_code,character varying(16),NO,
ros_pl,catch_details,id,integer,YES,
ros_pl,catch_details,comments,text,NO,
ros_pl,catch_details,estimated_catch_in_numbers,integer,NO,
ros_pl,catch_details,type_of_fate_code,character(2),YES,
ros_pl,catch_details,estimated_weight_sampling_method_code,character(2),NO,
ros_pl,catch_details,fates_code,character(2),NO,
ros_pl,catch_details,species_code,character varying(16),NO,
ros_pl,catch_details,estimated_weight_value,double precision,NO,
ros_pl,catch_details,estimated_weight_unit,character varying(3),NO,
ros_pl,catch_details,estimated_weight_type_of_measurement_code,character(2),NO,
ros_pl,catch_details,estimated_weight_processing_type_code,character(2),NO,
ros_pl,catch_details,estimated_weight_method_code,character(2),NO,
ros_pl,gear_specifications,id,integer,YES,
ros_pl,gear_specifications,trip_id,integer,YES,
ros_pl,gear_specifications,live_bait_tanks_capacity,double precision,NO,
ros_pl,gear_specifications,number_of_automatic_poles,integer,NO,
